mz_rt,mz,rt,MPA,Cluster_ID,Cluster_features,Cluster_size
296.8839_0.5836,296.8839,0.5836,380289.42189999996,Cluster_296.8839_0.5836,1052.5345_0.5834;1054.5334_0.5835;1096.5173_0.583;1136.4956_0.5832;1138.4952_0.5833;1222.4566_0.5831;1306.4187_0.5826;1390.3812_0.5831;296.8839_0.5836;298.8821_0.5837;380.8452_0.5838;382.8433_0.5834;464.8062_0.5835;466.8046_0.5845;548.7675_0.5832;550.7656_0.5838;632.7285_0.5837;634.7267_0.5837;716.6895_0.5838;718.6877_0.5835;800.6505_0.5837;802.6489_0.583;804.6471_0.583;884.6117_0.5832;886.6103_0.584;888.6085_0.5827;927.5936_0.5834;968.573_0.5837;970.572_0.5835;972.5704_0.5856,30
1081.5465_5.1244,1081.5465,5.1244,1103508.5,Cluster_1081.5465_5.1244,1063.5328_5.1294;1081.5465_5.1244;1082.5477_5.1242;1084.5531_5.1258;1105.5034_5.1247;1117.5211_5.1254;1121.524_5.1246;1149.5307_5.1252;1179.5135_5.1187;1181.4715_5.1189;1199.4785_5.1254;540.2706_5.126;558.2593_5.1263;563.2743_5.1256;581.2621_5.1271;586.2761_5.1264,16
302.0682_2.2995,302.0682,2.2995,474434.75005,Cluster_312.097_2.2992,134.0477_2.2989;266.0925_2.2989;302.0682_2.2995;304.0654_2.2995;312.097_2.2992;586.0991_2.2986,6
683.268_2.5484,683.268,2.5484,98116.24220000001,Cluster_164.0727_2.5485,164.0727_2.5485;344.1361_2.5485;351.1342_2.5484;384.0798_2.5484;418.0409_2.5481;547.1423_2.5477;548.1462_2.5482;564.1945_2.5483;583.1191_2.5482;615.1305_2.5478;683.268_2.5484;710.2247_2.5491;712.2216_2.5484,13
291.006_0.661,291.006,0.661,263530.31255,291.006_0.661,291.006_0.661,1
193.0263_1.1457,193.0263,1.1457,403642.51564999996,193.0263_1.1457,193.0263_1.1457,1
341.0901_3.1929,341.0901,3.1929,1225443.875,Cluster_341.0901_3.1929,251.0576_3.1937;341.0901_3.1929;377.065_3.1999;404.0849_3.1992;440.0063_3.1998;441.0137_3.1948;455.0823_3.198;459.0252_3.1963,8
173.01_1.1449,173.01,1.1449,357991.875,Cluster_111.0091_1.1441,111.0091_1.1441;112.0124_1.1452;129.0198_1.1476;173.01_1.1449;190.0104_1.145;192.0244_1.1452,6
244.0254_0.6419,244.0254,0.6419,273022.39064999996,244.0254_0.6419,244.0254_0.6419,1
371.1007_2.9003,371.1007,2.9003,807042.9375,Cluster_371.1007_2.9003,163.041_2.898;325.0949_2.8977;361.0718_2.8985;363.0701_2.8993;371.1007_2.9003;704.1056_2.8988,6
309.121_3.5506,309.121,3.5506,225157.90625,Cluster_309.121_3.5506,263.1149_3.5514;299.0921_3.5497;301.0895_3.5524;309.121_3.5506,4
443.1945_3.1317,443.1945,3.1317,567507.3125,Cluster_443.1945_3.1317,443.1945_3.1317;543.1175_3.1321,2
149.0454_0.7286,149.0454,0.7286,122167.74220000001,149.0454_0.7286,149.0454_0.7286,1
380.8452_0.5838,380.8452,0.5838,251169.78125,Cluster_296.8839_0.5836,1052.5345_0.5834;1054.5334_0.5835;1096.5173_0.583;1136.4956_0.5832;1138.4952_0.5833;1222.4566_0.5831;1306.4187_0.5826;1390.3812_0.5831;296.8839_0.5836;298.8821_0.5837;380.8452_0.5838;382.8433_0.5834;464.8062_0.5835;466.8046_0.5845;548.7675_0.5832;550.7656_0.5838;632.7285_0.5837;634.7267_0.5837;716.6895_0.5838;718.6877_0.5835;800.6505_0.5837;802.6489_0.583;804.6471_0.583;884.6117_0.5832;886.6103_0.584;888.6085_0.5827;927.5936_0.5834;968.573_0.5837;970.572_0.5835;972.5704_0.5856,30
115.0031_0.7705,115.0031,0.7705,347671.73439999996,Cluster_133.0142_0.7769,115.0031_0.7705;133.0142_0.7769;134.0175_0.7797,3
279.0406_1.5825,279.0406,1.5825,220981.96094999998,Cluster_243.064_1.585,243.064_1.585;279.0406_1.5825;281.0378_1.5813;289.0693_1.5851;311.0511_1.5843;341.0399_1.5782;387.986_1.5865;487.1329_1.5836;540.045_1.5843,9
547.1423_2.5477,547.1423,2.5477,70221.99220000001,Cluster_164.0727_2.5485,164.0727_2.5485;344.1361_2.5485;351.1342_2.5484;384.0798_2.5484;418.0409_2.5481;547.1423_2.5477;548.1462_2.5482;564.1945_2.5483;583.1191_2.5482;615.1305_2.5478;683.268_2.5484;710.2247_2.5491;712.2216_2.5484,13
377.0869_0.7164,377.0869,0.7164,429713.21875,Cluster_377.0869_0.7164,1145.2893_0.7267;1161.2673_0.7248;341.1093_0.7266;377.0869_0.7164;379.0844_0.7166;387.115_0.727;491.1616_0.726;515.1254_0.7264;803.1735_0.7196;819.1499_0.7172;982.2174_0.7166;990.2107_0.7298,12
154.0627_0.6023,154.0627,0.6023,93204.6367,154.0627_0.6023,154.0627_0.6023,1
353.0903_3.25,353.0903,3.25,3148958.5,Cluster_353.0903_3.25,1083.2465_3.2356;1099.225_3.2344;1105.2399_3.2365;1115.1958_3.2347;1119.1979_3.2353;1136.1708_3.2348;191.0572_3.2348;353.0903_3.25;355.0971_3.2427;451.0632_3.2427;556.0899_3.2326;727.1507_3.2502;729.1665_3.2424;731.1657_3.2415;744.1298_3.2398;744.6308_3.2384;745.1413_3.2423;760.096_3.2433;760.5992_3.2356;932.6677_3.2369;933.1695_3.2354;948.1343_3.2359;948.6357_3.2351,23
180.0671_1.4997,180.0671,1.4997,67567.89845000001,Cluster_180.0671_1.4997,180.0671_1.4997;248.0552_1.4995;383.123_1.5142;425.0042_1.4979,4
130.0878_1.8674,130.0878,1.8674,138500.22655000002,Cluster_130.0878_1.8674,130.0878_1.8674;198.0758_1.8678;231.0206_1.8676;283.1653_1.8674;316.1099_1.8671;360.1_1.8682;377.1522_1.8671;428.0869_1.8672;429.0956_1.8674;462.2413_1.8661;491.1944_1.8646,11
221.0308_0.7037,221.0308,0.7037,140620.89845,Cluster_221.0308_0.7037,203.0202_0.7044;221.0308_0.7037,2
351.0271_0.6495,351.0271,0.6495,260821.64844999998,351.0271_0.6495,351.0271_0.6495,1
1314.6004_4.2366,1314.6004,4.2366,446380.42189999996,Cluster_1268.5955_4.2381,1268.5955_4.2381;1310.5666_4.2245;1314.6004_4.2366;1331.585_4.2374;1331.5866_4.2375;1332.589_4.2375;1366.5749_4.2285;669.7714_4.2376;670.7714_4.2369,9
356.9993_0.65,356.9993,0.65,299217.04689999996,356.9993_0.65,356.9993_0.65,1
226.9967_0.7375,226.9967,0.7375,253768.56255,Cluster_226.9967_0.7375,226.9967_0.7375;228.995_0.7364,2
741.1909_3.8094,741.1909,3.8094,704801.65625,Cluster_741.1909_3.8094,741.1909_3.8094;794.0999_3.809;809.1763_3.8087;840.1071_3.8093;841.1115_3.8092,5
102.0564_0.6373,102.0564,0.6373,206949.56255,Cluster_146.0471_0.638,102.0564_0.6373;146.0471_0.638,2
274.9593_0.5298,274.9593,0.5298,262468.79689999996,Cluster_272.9607_0.5308,114.989_0.5302;158.9795_0.5328;160.9776_0.5299;244.9651_0.5296;272.9607_0.5308;274.9593_0.5298;358.9452_0.5298;386.9411_0.53;388.9397_0.5292;472.925_0.5302;474.9233_0.5298;500.9209_0.5296;502.9199_0.5295;504.9156_0.5299,14
145.0144_0.9896,145.0144,0.9896,98850.7383,145.0144_0.9896,145.0144_0.9896,1
163.0249_0.7062,163.0249,0.7062,185264.8594,163.0249_0.7062,163.0249_0.7062,1
355.1051_3.5193,355.1051,3.5193,306206.8125,Cluster_355.1051_3.5193,175.0406_3.5217;355.1051_3.5193;391.0816_3.5208;393.0823_3.5196,4
147.0314_0.6698,147.0314,0.6698,147929.9766,Cluster_147.0316_0.6656,129.0193_0.675;147.0314_0.6698;147.0316_0.6656,3
188.0572_1.0234,188.0572,1.0234,110155.88675,188.0572_1.0234,188.0572_1.0234,1
209.0661_0.7278,209.0661,0.7278,274892.42189999996,209.0661_0.7278,209.0661_0.7278,1
182.0469_2.3381,182.0469,2.3381,254256.4063,182.0469_2.3381,182.0469_2.3381,1
565.049_0.7284,565.049,0.7284,282275.87505,Cluster_565.049_0.7284,549.0541_0.7289;565.049_0.7284;603.0036_0.7433;700.979_0.7416,4
548.7675_0.5832,548.7675,0.5832,153865.48435,Cluster_296.8839_0.5836,1052.5345_0.5834;1054.5334_0.5835;1096.5173_0.583;1136.4956_0.5832;1138.4952_0.5833;1222.4566_0.5831;1306.4187_0.5826;1390.3812_0.5831;296.8839_0.5836;298.8821_0.5837;380.8452_0.5838;382.8433_0.5834;464.8062_0.5835;466.8046_0.5845;548.7675_0.5832;550.7656_0.5838;632.7285_0.5837;634.7267_0.5837;716.6895_0.5838;718.6877_0.5835;800.6505_0.5837;802.6489_0.583;804.6471_0.583;884.6117_0.5832;886.6103_0.584;888.6085_0.5827;927.5936_0.5834;968.573_0.5837;970.572_0.5835;972.5704_0.5856,30
564.1945_2.5483,564.1945,2.5483,75944.46095000001,Cluster_164.0727_2.5485,164.0727_2.5485;344.1361_2.5485;351.1342_2.5484;384.0798_2.5484;418.0409_2.5481;547.1423_2.5477;548.1462_2.5482;564.1945_2.5483;583.1191_2.5482;615.1305_2.5478;683.268_2.5484;710.2247_2.5491;712.2216_2.5484,13
351.1342_2.5484,351.1342,2.5484,80780.26565,Cluster_164.0727_2.5485,164.0727_2.5485;344.1361_2.5485;351.1342_2.5484;384.0798_2.5484;418.0409_2.5481;547.1423_2.5477;548.1462_2.5482;564.1945_2.5483;583.1191_2.5482;615.1305_2.5478;683.268_2.5484;710.2247_2.5491;712.2216_2.5484,13
129.0198_1.1476,129.0198,1.1476,214577.4766,Cluster_111.0091_1.1441,111.0091_1.1441;112.0124_1.1452;129.0198_1.1476;173.01_1.1449;190.0104_1.145;192.0244_1.1452,6
325.1272_0.6288,325.1272,0.6288,164415.25,325.1272_0.6288,325.1272_0.6288,1
427.1841_3.726,427.1841,3.726,215823.3672,Cluster_427.1841_3.726,381.178_3.7258;417.1549_3.7274;427.1841_3.726,3
129.0193_0.675,129.0193,0.675,141559.14844999998,Cluster_147.0316_0.6656,129.0193_0.675;147.0314_0.6698;147.0316_0.6656,3
189.0777_4.0909,189.0777,4.0909,6583.92285,189.0777_4.0909,189.0777_4.0909,1
157.0363_0.682,157.0363,0.682,8824.297849999999,157.0363_0.682,157.0363_0.682,1
380.1584_2.7255,380.1584,2.7255,385713.93755,Cluster_380.1584_2.7255,380.1584_2.7255;448.1448_2.7249;480.0822_2.7252,3
457.1944_3.463,457.1944,3.463,310230.60939999996,Cluster_457.1944_3.463,411.1888_3.4629;447.1644_3.4628;457.1944_3.463;474.184_3.4707;511.1131_3.4617,5
135.0284_0.7083,135.0284,0.7083,108532.17970000001,135.0284_0.7083,135.0284_0.7083,1
117.0195_1.522,117.0195,1.522,171829.5547,117.0195_1.522,117.0195_1.522,1
677.2851_5.0346,677.28510000000006,5.0346,397717.89064999996,Cluster_677.2851_5.0346,677.2851_5.0346;699.2654_5.0335;777.2085_5.0344,3
464.8062_0.5835,464.8062,0.5835,131556.29690000002,Cluster_296.8839_0.5836,1052.5345_0.5834;1054.5334_0.5835;1096.5173_0.583;1136.4956_0.5832;1138.4952_0.5833;1222.4566_0.5831;1306.4187_0.5826;1390.3812_0.5831;296.8839_0.5836;298.8821_0.5837;380.8452_0.5838;382.8433_0.5834;464.8062_0.5835;466.8046_0.5845;548.7675_0.5832;550.7656_0.5838;632.7285_0.5837;634.7267_0.5837;716.6895_0.5838;718.6877_0.5835;800.6505_0.5837;802.6489_0.583;804.6471_0.583;884.6117_0.5832;886.6103_0.584;888.6085_0.5827;927.5936_0.5834;968.573_0.5837;970.572_0.5835;972.5704_0.5856,30
232.0604_2.5485,232.0604,2.5485,113311.2383,Cluster_232.0604_2.5485,232.0604_2.5485;265.0053_2.5483;399.1166_2.5484;428.0693_2.5482;445.1207_2.5478,5
533.1733_0.7168,533.1733,0.7168,368270.125,533.1733_0.7168,533.1733_0.7168,1
386.9411_0.53,386.9411,0.53,235127.73435,Cluster_272.9607_0.5308,114.989_0.5302;158.9795_0.5328;160.9776_0.5299;244.9651_0.5296;272.9607_0.5308;274.9593_0.5298;358.9452_0.5298;386.9411_0.53;388.9397_0.5292;472.925_0.5302;474.9233_0.5298;500.9209_0.5296;502.9199_0.5295;504.9156_0.5299,14
609.1487_4.0349,609.1487,4.0349,1416814.9375,Cluster_609.1487_4.0349,1241.2804_4.035;1272.2102_4.035;300.0287_4.0357;609.1487_4.0349;709.0696_4.0348;727.0825_4.0349;755.0769_4.0346,7
1455.3085_6.1312,1455.3085,6.1312,259272.64065000002,Cluster_1455.3085_6.1312,1455.3085_6.1312;1455.6409_6.131;1462.6335_6.1299;1462.9674_6.1295;1463.6341_6.1303;1463.9676_6.1305;1469.6262_6.132;1473.2779_6.1307;1473.6153_6.1333;1481.2772_6.1346;1488.2812_6.1322;1488.6156_6.1304;1488.9497_6.1325,13
461.1683_3.9215,461.1683,3.9215,169587.00785,Cluster_461.1683_3.9215,415.1622_3.9231;451.139_3.9222;461.1683_3.9215;514.0793_3.9203;515.087_3.9228,5
